@relation 'train3-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.5-E6.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.5-E10.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O2.2-E8.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O4.0-E6.0-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C82-Llast-weka.filters.unsupervised.attribute.Remove-R82-83-weka.filters.unsupervised.attribute.Remove-R2-3,5-12,14-17,19,22-27,29,31-33,36-38,40,42-43,45-46,48-49,51-53,56,59-60,64-66,70-80-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R15-precision6'

@attribute LotFrontage numeric
@attribute Neighborhood {CollgCr,Veenker,Crawfor,NoRidge,Mitchel,Somerst,NWAmes,OldTown,BrkSide,Sawyer,NridgHt,NAmes,SawyerW,IDOTRR,MeadowV,Edwards,Timber,Gilbert,StoneBr,ClearCr,NPkVill,Blmngtn,BrDale,SWISU,Blueste}
@attribute OverallQual numeric
@attribute YearRemodAdd numeric
@attribute ExterQual {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-2.2]\'','\'(2.2-2.5]\'','\'(2.5-2.8]\'','\'(2.8-3.1]\'','\'(3.1-3.4]\'','\'(3.4-3.7]\'','\'(3.7-inf)\''}
@attribute BsmtFinSF1 numeric
@attribute TotalBsmtSF numeric
@attribute HeatingQC numeric
@attribute X1stFlrSF numeric
@attribute GrLivArea numeric
@attribute KitchenQual numeric
@attribute TotRmsAbvGrd numeric
@attribute Fireplaces numeric
@attribute GarageFinish {RFn,Unf,Fin,'No garage'}
@attribute GarageCars {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-2]\'','\'(2-2.4]\'','\'(2.4-2.8]\'','\'(2.8-3.2]\'','\'(3.2-3.6]\'','\'(3.6-inf)\''}
@attribute GarageArea numeric
@attribute OpenPorchSF numeric
@attribute SalePrice numeric

@data
62,Edwards,5,1999,'\'(3.7-inf)\'',351,644,3,808,1355,4,6,0,'No garage','\'(-inf-0.4]\'',0,0,127500
69,ClearCr,5,1993,'\'(2.8-3.1]\'',379,1617,1,1867,1867,4,7,3,Fin,'\'(0.8-1.2]\'',303,0,190000
86,NridgHt,8,2007,'\'(2.8-3.1]\'',1288,1582,1,1610,2161,1,8,1,Fin,'\'(2.8-3.2]\'',789,120,325624
62,Gilbert,7,2004,'\'(2.8-3.1]\'',0,840,1,840,1720,3,7,1,Fin,'\'(1.6-2]\'',440,48,183500
69,Timber,8,1981,'\'(2.8-3.1]\'',0,1686,4,1707,1707,4,6,1,RFn,'\'(1.6-2]\'',511,64,228000
69,OldTown,5,1950,'\'(3.7-inf)\'',360,720,4,854,1382,4,7,0,Unf,'\'(1.6-2]\'',660,0,128500
44,StoneBr,7,1987,'\'(2.8-3.1]\'',495,1064,3,1064,1767,3,5,1,RFn,'\'(1.6-2]\'',504,35,239000
80,NAmes,6,1961,'\'(3.7-inf)\'',288,1362,4,1362,1362,4,6,1,Unf,'\'(1.6-2]\'',504,20,163000
47,Timber,6,1986,'\'(3.7-inf)\'',1398,1606,4,1651,1651,4,7,1,Fin,'\'(1.6-2]\'',616,0,184000
84,Edwards,6,2001,'\'(3.7-inf)\'',477,1202,4,2158,2158,3,7,1,Unf,'\'(1.6-2]\'',576,29,243000
97,ClearCr,6,1989,'\'(2.8-3.1]\'',831,1151,4,1164,2060,4,8,1,Unf,'\'(1.6-2]\'',521,228,211000
69,Sawyer,5,1958,'\'(2.8-3.1]\'',57,1052,1,1252,1920,3,8,1,Unf,'\'(1.6-2]\'',451,0,172500
60,OldTown,5,2006,'\'(2.8-3.1]\'',0,968,4,968,968,4,5,0,Unf,'\'(1.6-2]\'',480,0,100000
69,Somerst,6,2000,'\'(2.8-3.1]\'',436,756,1,769,1525,3,5,1,Unf,'\'(1.6-2]\'',440,0,177000
54,Crawfor,7,1950,'\'(3.7-inf)\'',352,793,3,901,1802,4,9,1,Unf,'\'(0.8-1.2]\'',216,0,200100
60,Edwards,5,2006,'\'(3.7-inf)\'',0,0,1,1340,1340,4,7,1,RFn,'\'(0.8-1.2]\'',252,0,120000
63,OldTown,7,2003,'\'(3.7-inf)\'',0,1362,1,1362,2082,3,6,0,Unf,'\'(1.6-2]\'',484,238,200000
92,BrkSide,5,1991,'\'(3.7-inf)\'',0,504,3,936,1252,4,5,0,Unf,'\'(1.6-2]\'',576,0,127000
90,OldTown,10,1993,'\'(2.8-3.1]\'',0,1107,1,1518,3608,1,12,2,Unf,'\'(2.8-3.2]\'',840,260,475000
69,Mitchel,7,1991,'\'(3.7-inf)\'',611,1188,1,1217,1217,3,6,0,Unf,'\'(1.6-2]\'',497,27,173000
60,OldTown,5,1987,'\'(3.7-inf)\'',0,660,1,808,1656,4,8,0,Unf,'\'(0.8-1.2]\'',180,0,135000
64,SawyerW,5,1979,'\'(3.7-inf)\'',1086,1086,4,1224,1224,4,6,2,Unf,'\'(1.6-2]\'',528,0,153337
41,StoneBr,8,2002,'\'(2.8-3.1]\'',1153,1593,1,1593,1593,1,5,1,Fin,'\'(1.6-2]\'',682,120,286000
70,Crawfor,8,1994,'\'(2.8-3.1]\'',297,853,4,1549,2727,3,10,2,Unf,'\'(1.6-2]\'',440,74,315000
69,NAmes,7,2004,'\'(3.7-inf)\'',626,725,3,725,1479,3,7,0,Fin,'\'(1.6-2]\'',484,32,184000
68,CollgCr,7,1999,'\'(2.8-3.1]\'',560,1431,1,1431,1431,3,6,0,Fin,'\'(1.6-2]\'',666,35,192000
24,Edwards,7,2004,'\'(2.8-3.1]\'',0,970,1,970,1709,3,7,0,Unf,'\'(1.6-2]\'',380,40,130000
60,CollgCr,5,1972,'\'(3.7-inf)\'',390,864,4,864,864,4,5,0,Unf,'\'(0.8-1.2]\'',352,0,127000
24,NPkVill,6,1976,'\'(3.7-inf)\'',566,855,4,855,1456,4,7,1,Unf,'\'(1.6-2]\'',440,0,148500
79,Somerst,7,2007,'\'(-inf-1.3]\'',1126,1726,1,1726,1726,1,8,1,Fin,'\'(2.8-3.2]\'',786,138,311872
92,OldTown,6,1950,'\'(3.7-inf)\'',0,755,1,929,2229,4,8,0,'No garage','\'(-inf-0.4]\'',0,198,104000
76,NridgHt,8,2005,'\'(2.8-3.1]\'',1088,1713,1,1713,1713,1,7,1,Fin,'\'(2.8-3.2]\'',856,26,274900
80,Edwards,4,2004,'\'(3.7-inf)\'',0,1121,1,1121,1121,4,5,0,RFn,'\'(1.6-2]\'',440,64,140000
75,Mitchel,6,1977,'\'(3.7-inf)\'',641,1196,4,1279,1279,4,6,2,Unf,'\'(1.6-2]\'',473,83,171500
50,OldTown,6,1950,'\'(3.7-inf)\'',617,617,3,865,1310,4,6,0,Unf,'\'(0.8-1.2]\'',398,0,112000
69,CollgCr,6,2004,'\'(2.8-3.1]\'',662,848,1,848,848,3,3,1,RFn,'\'(1.6-2]\'',420,0,149000
50,OldTown,5,1950,'\'(3.7-inf)\'',312,720,4,720,1284,4,5,0,Unf,'\'(0.8-1.2]\'',240,35,110000
99,Gilbert,7,1990,'\'(3.7-inf)\'',0,1424,1,1442,1442,4,5,0,RFn,'\'(1.6-2]\'',500,34,180500
40,Sawyer,5,1962,'\'(3.7-inf)\'',0,1140,4,1696,1696,4,8,1,RFn,'\'(0.8-1.2]\'',349,30,143900
69,NAmes,4,1960,'\'(3.7-inf)\'',419,1100,4,1100,1100,4,6,1,RFn,'\'(0.8-1.2]\'',312,0,141000
69,SawyerW,7,1989,'\'(2.8-3.1]\'',1065,1157,1,1180,2062,4,7,1,Fin,'\'(1.6-2]\'',454,55,277000
75,NAmes,6,1964,'\'(3.7-inf)\'',787,1092,1,1092,1092,4,6,0,RFn,'\'(1.6-2]\'',504,0,145000
67,Edwards,5,1950,'\'(3.7-inf)\'',468,864,4,864,864,4,5,0,'No garage','\'(-inf-0.4]\'',0,0,98000
83,Edwards,6,2009,'\'(3.7-inf)\'',36,1212,1,1212,1212,3,6,0,RFn,'\'(1.6-2]\'',460,22,186000
72,Somerst,7,2009,'\'(3.7-inf)\'',822,900,1,932,1852,3,7,1,RFn,'\'(1.6-2]\'',644,108,252678
43,CollgCr,5,1995,'\'(3.7-inf)\'',716,990,1,990,990,4,5,0,Unf,'\'(1.6-2]\'',576,0,156000
69,CollgCr,6,1977,'\'(3.7-inf)\'',378,689,1,689,1392,4,6,0,Fin,'\'(0.8-1.2]\'',299,36,161750
72,NAmes,5,1996,'\'(3.7-inf)\'',360,1070,4,1236,1236,3,6,1,Unf,'\'(0.8-1.2]\'',447,0,134450
65,CollgCr,7,2004,'\'(2.8-3.1]\'',946,1436,1,1436,1436,3,8,0,Unf,'\'(1.6-2]\'',484,98,210000
57,OldTown,4,1950,'\'(3.7-inf)\'',0,686,2,810,1328,4,8,0,Unf,'\'(0.8-1.2]\'',210,172,107000
69,Crawfor,7,2006,'\'(2.8-3.1]\'',341,798,1,1137,1954,3,8,2,Unf,'\'(1.6-2]\'',431,119,311500
43,Blmngtn,7,2006,'\'(2.8-3.1]\'',16,1248,1,1248,1248,3,5,0,Fin,'\'(1.6-2]\'',438,0,167240
73,CollgCr,7,2006,'\'(2.8-3.1]\'',0,1498,1,1498,1498,3,5,0,RFn,'\'(1.6-2]\'',675,33,204900
69,Gilbert,6,2002,'\'(2.8-3.1]\'',0,1010,1,1010,2267,3,8,1,RFn,'\'(1.6-2]\'',390,46,200000
85,NWAmes,6,1975,'\'(3.7-inf)\'',550,713,4,811,1552,4,6,1,RFn,'\'(1.6-2]\'',434,208,179900
70,NAmes,4,1971,'\'(3.7-inf)\'',524,864,3,864,864,4,4,0,Unf,'\'(1.6-2]\'',576,0,97000
21,BrDale,5,1971,'\'(3.7-inf)\'',0,630,4,630,1302,4,6,0,Unf,'\'(0.8-1.2]\'',280,0,112000
82,NoRidge,7,1995,'\'(2.8-3.1]\'',565,1203,1,1214,2520,3,9,1,RFn,'\'(2.8-3.2]\'',721,114,290000
21,BrDale,6,1970,'\'(3.7-inf)\'',321,483,4,483,987,4,5,0,Unf,'\'(0.8-1.2]\'',280,0,106000
70,Sawyer,5,1967,'\'(3.7-inf)\'',842,912,4,912,912,4,5,1,Unf,'\'(0.8-1.2]\'',336,0,125000
43,Blmngtn,7,2006,'\'(2.8-3.1]\'',16,1373,1,1555,1555,3,7,1,Fin,'\'(1.6-2]\'',430,20,192500
73,NAmes,6,1959,'\'(3.7-inf)\'',0,1194,4,1194,1194,4,6,0,RFn,'\'(0.8-1.2]\'',312,0,148000
21,BrDale,6,1972,'\'(3.7-inf)\'',0,483,4,483,987,4,5,1,Unf,'\'(0.8-1.2]\'',288,0,94500
75,CollgCr,5,1976,'\'(3.7-inf)\'',182,894,4,894,894,4,5,0,Unf,'\'(0.8-1.2]\'',308,0,128200
69,Gilbert,6,2002,'\'(2.8-3.1]\'',625,860,1,860,1960,3,8,2,Fin,'\'(1.6-2]\'',440,48,216500
21,BrDale,6,1971,'\'(3.7-inf)\'',358,483,4,483,987,4,5,0,Unf,'\'(0.8-1.2]\'',264,0,89500
65,CollgCr,7,2004,'\'(2.8-3.1]\'',24,1414,1,1414,1414,3,6,0,RFn,'\'(1.6-2]\'',494,105,185500
69,SawyerW,7,2003,'\'(2.8-3.1]\'',402,996,1,1014,1744,3,7,0,RFn,'\'(1.6-2]\'',457,70,194500
93,NridgHt,8,2007,'\'(-inf-1.3]\'',0,1694,1,1694,1694,3,7,0,Fin,'\'(2.8-3.2]\'',818,228,318000
52,Edwards,6,1950,'\'(3.7-inf)\'',94,735,4,798,1487,4,7,1,Unf,'\'(0.8-1.2]\'',220,140,113000
75,Somerst,8,2008,'\'(2.8-3.1]\'',1078,1566,1,1566,1566,3,7,0,RFn,'\'(1.6-2]\'',750,168,262500
40,OldTown,5,1997,'\'(3.7-inf)\'',329,686,3,866,866,3,4,0,'No garage','\'(-inf-0.4]\'',0,42,110500
63,OldTown,5,1950,'\'(3.7-inf)\'',0,540,3,889,1440,4,6,0,Unf,'\'(0.8-1.2]\'',352,0,79000
75,SawyerW,6,1980,'\'(3.7-inf)\'',0,626,4,626,1217,4,6,1,RFn,'\'(0.8-1.2]\'',288,28,120000
69,SawyerW,7,2002,'\'(2.8-3.1]\'',695,948,1,1222,2110,3,8,2,RFn,'\'(1.6-2]\'',463,130,205000
80,NWAmes,7,1988,'\'(3.7-inf)\'',929,1845,3,1872,1872,4,6,1,Fin,'\'(1.6-2]\'',604,39,241500
69,OldTown,6,1950,'\'(3.7-inf)\'',0,1020,3,908,1928,2,9,0,Unf,'\'(0.8-1.2]\'',440,60,137000
75,NAmes,6,1954,'\'(3.7-inf)\'',0,1367,1,1375,1375,4,5,1,Unf,'\'(1.6-2]\'',451,30,140000
72,CollgCr,7,2003,'\'(2.8-3.1]\'',0,840,1,840,1668,3,8,0,RFn,'\'(1.6-2]\'',500,68,180000
69,ClearCr,6,2006,'\'(2.8-3.1]\'',697,1444,3,1444,2144,3,7,2,Fin,'\'(1.6-2]\'',389,98,277000
55,BrkSide,3,1966,'\'(3.7-inf)\'',0,728,1,1306,1306,2,6,0,'No garage','\'(-inf-0.4]\'',0,0,76500
44,Crawfor,8,2007,'\'(2.8-3.1]\'',1573,1573,1,1625,1625,3,5,1,Fin,'\'(1.6-2]\'',538,0,235000
65,SawyerW,6,2004,'\'(2.8-3.1]\'',0,798,1,798,1640,3,6,0,RFn,'\'(1.6-2]\'',520,45,173000
85,NAmes,6,1991,'\'(3.7-inf)\'',270,1302,1,1302,1302,3,7,0,RFn,'\'(0.8-1.2]\'',309,0,158000
70,NAmes,5,1957,'\'(3.7-inf)\'',922,1314,4,1314,1314,4,5,0,RFn,'\'(0.8-1.2]\'',294,0,145000
66,Gilbert,7,1999,'\'(2.8-3.1]\'',0,975,1,1005,2291,3,8,1,Fin,'\'(1.6-2]\'',429,0,230000
64,Somerst,6,2003,'\'(2.8-3.1]\'',503,864,1,864,1728,3,7,0,RFn,'\'(1.6-2]\'',673,56,207500
68,CollgCr,7,2006,'\'(2.8-3.1]\'',1334,1604,1,1604,1604,3,8,1,RFn,'\'(1.6-2]\'',660,110,220000
80,CollgCr,7,2001,'\'(2.8-3.1]\'',361,963,1,963,1792,3,7,1,RFn,'\'(1.6-2]\'',564,96,231500
70,OldTown,5,1956,'\'(3.7-inf)\'',0,0,3,882,882,4,4,0,Unf,'\'(0.8-1.2]\'',308,45,97000
120,NAmes,6,1962,'\'(3.7-inf)\'',672,1362,4,1382,1382,4,6,1,Unf,'\'(1.6-2]\'',884,0,176000
69,CollgCr,8,2007,'\'(2.8-3.1]\'',0,1482,1,1482,2574,1,10,1,Fin,'\'(2.8-3.2]\'',868,148,276000
88,Sawyer,6,1995,'\'(3.7-inf)\'',506,506,4,1212,1212,4,6,1,Unf,'\'(1.6-2]\'',492,12,151000
50,OldTown,5,2001,'\'(3.7-inf)\'',234,926,4,926,1316,4,6,0,Unf,'\'(1.6-2]\'',484,0,130000
30,OldTown,5,2004,'\'(3.7-inf)\'',0,680,3,764,764,4,4,0,Unf,'\'(1.6-2]\'',504,0,73000
78,NWAmes,6,1981,'\'(3.7-inf)\'',588,1422,4,1422,1422,3,7,1,Fin,'\'(1.6-2]\'',576,0,175500
70,Gilbert,6,1997,'\'(3.7-inf)\'',714,802,3,802,1511,4,8,1,Fin,'\'(1.6-2]\'',413,75,185000
60,SWISU,5,1997,'\'(3.7-inf)\'',378,720,1,1052,2192,3,8,1,Unf,'\'(0.8-1.2]\'',240,24,179500
71,IDOTRR,5,1955,'\'(3.7-inf)\'',403,740,1,778,778,4,4,1,Fin,'\'(0.8-1.2]\'',924,25,120500
69,Edwards,6,1976,'\'(3.7-inf)\'',751,1143,4,1113,1113,4,6,1,RFn,'\'(0.8-1.2]\'',504,30,148000
84,Somerst,8,2006,'\'(2.8-3.1]\'',0,1095,3,1095,1939,3,8,1,RFn,'\'(2.8-3.2]\'',1053,51,266000
73,ClearCr,7,2005,'\'(3.7-inf)\'',226,1385,1,1363,1363,4,5,2,Unf,'\'(1.6-2]\'',439,0,241500
92,NoRidge,8,2007,'\'(2.8-3.1]\'',524,1152,1,1164,2270,3,9,1,Fin,'\'(2.8-3.2]\'',671,57,290000
80,NAmes,6,1988,'\'(3.7-inf)\'',620,1240,3,1632,1632,4,6,1,RFn,'\'(0.8-1.2]\'',338,0,139000
76,Mitchel,5,1982,'\'(3.7-inf)\'',546,816,4,816,816,4,5,0,Unf,'\'(0.8-1.2]\'',264,0,124500
55,BrkSide,7,2007,'\'(2.8-3.1]\'',0,952,3,952,1548,1,5,0,Unf,'\'(1.6-2]\'',672,0,205000
129,Mitchel,7,2003,'\'(2.8-3.1]\'',0,1560,1,1560,1560,3,7,0,Fin,'\'(1.6-2]\'',573,150,201000
107,NridgHt,9,2007,'\'(-inf-1.3]\'',0,2121,1,2121,2121,1,8,1,Fin,'\'(2.8-3.2]\'',732,98,415298
83,ClearCr,7,1977,'\'(3.7-inf)\'',392,1160,1,1156,2022,4,8,1,Fin,'\'(1.6-2]\'',505,117,192000
82,SawyerW,7,1989,'\'(2.8-3.1]\'',421,807,3,1175,1982,3,7,1,Fin,'\'(1.6-2]\'',575,84,228500
60,Somerst,6,2006,'\'(2.8-3.1]\'',905,1262,3,1262,1262,3,5,0,Fin,'\'(1.6-2]\'',572,120,185000
34,NridgHt,7,2008,'\'(2.8-3.1]\'',904,1314,1,1314,1314,3,6,1,RFn,'\'(1.6-2]\'',626,62,207500
74,Somerst,8,2009,'\'(2.8-3.1]\'',0,1468,1,1468,1468,3,6,1,Fin,'\'(2.8-3.2]\'',898,150,244600
50,SawyerW,6,1992,'\'(2.8-3.1]\'',430,1575,3,1575,1575,3,5,0,RFn,'\'(1.6-2]\'',529,0,179200
35,Somerst,7,2007,'\'(2.8-3.1]\'',0,625,1,625,1250,3,5,0,RFn,'\'(1.6-2]\'',528,54,164700
77,NAmes,6,1981,'\'(3.7-inf)\'',600,912,4,1085,1734,3,7,1,RFn,'\'(1.6-2]\'',440,0,159000
69,NAmes,4,1971,'\'(3.7-inf)\'',614,858,4,858,858,4,5,0,'No garage','\'(-inf-0.4]\'',0,0,88000
69,Sawyer,5,1967,'\'(3.7-inf)\'',450,882,4,900,900,4,5,0,Unf,'\'(0.8-1.2]\'',280,0,122000
60,BrkSide,6,2003,'\'(3.7-inf)\'',0,698,1,698,1396,4,7,0,Unf,'\'(0.8-1.2]\'',384,0,153575
120,CollgCr,8,2006,'\'(2.8-3.1]\'',0,1079,1,1079,1919,3,8,1,RFn,'\'(1.6-2]\'',685,51,233230
55,SWISU,5,2000,'\'(3.7-inf)\'',210,780,1,936,1716,2,9,0,'No garage','\'(-inf-0.4]\'',0,184,135900
60,Edwards,5,2008,'\'(3.7-inf)\'',292,768,3,1148,1716,4,8,1,Unf,'\'(0.8-1.2]\'',281,0,131000
69,NWAmes,7,1994,'\'(3.7-inf)\'',795,795,2,1468,2263,3,9,1,Fin,'\'(1.6-2]\'',539,250,235000
80,NAmes,6,1953,'\'(3.7-inf)\'',1285,1416,4,1644,1644,4,7,2,Fin,'\'(1.6-2]\'',418,0,167000
37,Mitchel,6,1984,'\'(3.7-inf)\'',819,1003,4,1003,1003,4,6,0,Unf,'\'(1.6-2]\'',588,0,142500
75,IDOTRR,5,1950,'\'(3.7-inf)\'',420,910,4,910,1558,4,6,0,Unf,'\'(0.8-1.2]\'',282,0,152000
66,Somerst,7,1998,'\'(2.8-3.1]\'',649,975,1,975,1950,3,7,1,RFn,'\'(1.6-2]\'',576,10,239000
90,NWAmes,6,1968,'\'(2.8-3.1]\'',384,702,3,1041,1743,4,7,1,Unf,'\'(1.6-2]\'',539,0,175000
80,Crawfor,6,2004,'\'(3.7-inf)\'',0,1092,1,1152,1152,3,6,1,Unf,'\'(0.8-1.2]\'',300,36,158500
90,Crawfor,5,1953,'\'(3.7-inf)\'',841,1165,4,1336,1336,4,5,2,Unf,'\'(0.8-1.2]\'',375,0,157000
66,CollgCr,8,1999,'\'(2.8-3.1]\'',281,1028,1,1210,2452,3,9,1,Fin,'\'(1.6-2]\'',683,50,267000
118,CollgCr,7,2002,'\'(2.8-3.1]\'',0,1541,1,1541,1541,3,6,1,RFn,'\'(2.8-3.2]\'',843,81,205000
70,CollgCr,5,1972,'\'(3.7-inf)\'',894,894,4,894,894,4,5,0,Unf,'\'(1.6-2]\'',552,0,149900
87,OldTown,7,2002,'\'(3.7-inf)\'',0,1470,1,1675,3493,3,10,1,Unf,'\'(2.8-3.2]\'',870,0,295000
80,CollgCr,8,2005,'\'(2.8-3.1]\'',1464,2000,1,2000,2000,3,8,0,Fin,'\'(2.8-3.2]\'',888,0,305900
116,SawyerW,7,1991,'\'(2.8-3.1]\'',700,700,3,1122,2243,3,8,1,RFn,'\'(2.8-3.2]\'',746,44,225000
69,IDOTRR,6,1950,'\'(3.7-inf)\'',0,319,4,1035,1406,2,6,0,'No garage','\'(-inf-0.4]\'',0,144,89500
69,Edwards,4,1950,'\'(3.7-inf)\'',262,861,1,861,861,4,4,0,Unf,'\'(1.6-2]\'',539,0,82500
90,NridgHt,9,2004,'\'(2.8-3.1]\'',1274,1896,1,1944,1944,1,8,3,Fin,'\'(2.8-3.2]\'',708,175,360000
69,Gilbert,6,1994,'\'(3.7-inf)\'',518,697,3,697,1501,3,6,1,Fin,'\'(1.6-2]\'',420,63,165600
50,NAmes,6,2002,'\'(3.7-inf)\'',680,972,1,972,972,4,5,1,Unf,'\'(0.8-1.2]\'',240,0,132000
65,OldTown,5,1950,'\'(3.7-inf)\'',507,793,4,793,1118,4,5,1,Unf,'\'(1.6-2]\'',410,0,119900
60,OldTown,7,1990,'\'(3.7-inf)\'',16,728,1,832,1641,1,6,1,Unf,'\'(1.6-2]\'',546,0,178000
71,Gilbert,7,2005,'\'(2.8-3.1]\'',425,716,1,716,1432,3,6,1,Fin,'\'(1.6-2]\'',432,51,188500
94,NWAmes,7,1980,'\'(2.8-3.1]\'',692,845,4,1153,2353,1,10,1,RFn,'\'(1.6-2]\'',484,195,260000
75,Somerst,8,2006,'\'(2.8-3.1]\'',0,1088,1,1088,1959,3,8,1,RFn,'\'(2.8-3.2]\'',1025,46,270000
90,NoRidge,7,1993,'\'(2.8-3.1]\'',987,1347,1,1372,2646,3,9,1,RFn,'\'(2.8-3.2]\'',656,60,260000
69,NWAmes,7,1980,'\'(3.7-inf)\'',1036,1372,4,1472,1472,4,6,2,Unf,'\'(1.6-2]\'',588,48,187500
111,NridgHt,9,2006,'\'(3.7-inf)\'',0,1249,1,1249,2596,3,9,0,RFn,'\'(2.8-3.2]\'',840,154,342643
99,NridgHt,8,2004,'\'(2.8-3.1]\'',970,1136,1,1136,2468,3,10,1,Fin,'\'(2.8-3.2]\'',872,154,354000
86,SawyerW,7,1987,'\'(2.8-3.1]\'',28,1502,1,1553,2730,3,8,1,Fin,'\'(1.6-2]\'',576,96,301000
49,OldTown,3,2005,'\'(3.7-inf)\'',256,1162,1,1163,1163,4,6,0,Unf,'\'(0.8-1.2]\'',220,98,126175
96,NAmes,7,2007,'\'(2.8-3.1]\'',0,710,1,1898,2978,3,11,1,Fin,'\'(1.6-2]\'',564,0,242000
50,IDOTRR,5,1950,'\'(3.7-inf)\'',116,720,5,803,803,4,5,0,Unf,'\'(1.6-2]\'',360,0,87000
32,Veenker,8,1993,'\'(2.8-3.1]\'',1619,1719,1,1719,1719,3,6,2,Fin,'\'(1.6-2]\'',473,30,324000
80,NAmes,6,1960,'\'(3.7-inf)\'',565,1383,4,1383,1383,4,7,0,RFn,'\'(0.8-1.2]\'',292,45,145250
69,BrkSide,6,1994,'\'(3.7-inf)\'',0,844,3,1445,2134,3,10,0,Unf,'\'(1.6-2]\'',441,60,214500
60,IDOTRR,5,1950,'\'(3.7-inf)\'',0,596,4,596,1192,4,6,0,Unf,'\'(0.8-1.2]\'',189,0,78000
69,NAmes,5,1964,'\'(3.7-inf)\'',40,1728,4,1728,1728,4,10,0,Unf,'\'(0.8-1.2]\'',352,0,119000
70,NAmes,5,1992,'\'(3.7-inf)\'',846,1056,2,1056,1056,4,6,0,RFn,'\'(0.8-1.2]\'',308,0,139000
59,NridgHt,7,2004,'\'(2.8-3.1]\'',720,1358,1,1358,1358,3,6,1,RFn,'\'(1.6-2]\'',484,30,207000
59,Gilbert,6,1998,'\'(3.7-inf)\'',828,943,3,943,1638,4,7,2,Fin,'\'(1.6-2]\'',472,38,192000
69,Timber,5,1965,'\'(3.7-inf)\'',1249,1499,1,1619,1786,4,7,2,Fin,'\'(1.6-2]\'',529,0,228950
86,StoneBr,9,2006,'\'(2.8-3.1]\'',1249,1922,1,1922,1922,3,8,1,Fin,'\'(2.8-3.2]\'',676,51,377426
70,CollgCr,7,2003,'\'(2.8-3.1]\'',810,1536,1,1536,1536,3,7,0,RFn,'\'(1.6-2]\'',532,74,214000
91,NWAmes,7,1998,'\'(2.8-3.1]\'',213,1208,1,1621,1621,3,8,0,RFn,'\'(1.6-2]\'',440,45,202500
66,NAmes,6,1998,'\'(3.7-inf)\'',585,1215,4,1215,1215,4,6,0,Unf,'\'(0.8-1.2]\'',297,0,155000
85,Timber,8,2002,'\'(2.8-3.1]\'',0,967,1,993,1908,3,9,0,Fin,'\'(1.6-2]\'',431,0,202900
60,SawyerW,4,1950,'\'(1.9-2.2]\'',0,721,3,841,841,4,4,0,Unf,'\'(0.8-1.2]\'',294,0,82000
69,NAmes,3,1950,'\'(3.7-inf)\'',0,0,2,1040,1040,4,6,0,Unf,'\'(1.6-2]\'',400,0,87500
63,NridgHt,9,2005,'\'(-inf-1.3]\'',28,1684,1,1684,1684,1,6,1,RFn,'\'(1.6-2]\'',564,72,266000
36,MeadowV,5,1976,'\'(3.7-inf)\'',129,536,4,536,1112,4,4,0,Unf,'\'(0.8-1.2]\'',336,0,85000
65,BrkSide,6,1950,'\'(3.7-inf)\'',0,972,3,972,1577,2,6,1,Unf,'\'(0.8-1.2]\'',312,0,140200
69,NAmes,6,1998,'\'(3.7-inf)\'',498,958,4,958,958,4,5,0,RFn,'\'(0.8-1.2]\'',301,0,151500
69,NAmes,6,1960,'\'(3.7-inf)\'',1270,1478,1,1478,1478,4,6,2,Unf,'\'(1.6-2]\'',498,40,157500
36,NridgHt,7,2004,'\'(2.8-3.1]\'',573,764,1,764,1626,3,6,0,RFn,'\'(1.6-2]\'',474,27,154000
68,NridgHt,9,2007,'\'(-inf-1.3]\'',0,1869,1,1869,1869,1,6,1,RFn,'\'(1.6-2]\'',617,54,318061
69,ClearCr,7,1986,'\'(3.7-inf)\'',1082,1453,3,1453,1453,3,6,1,RFn,'\'(1.6-2]\'',445,80,190000
60,Edwards,5,1950,'\'(3.7-inf)\'',236,616,4,616,1111,4,5,0,Unf,'\'(0.8-1.2]\'',200,0,95000
